Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
ISIN Code: PTFTO0138373Nominal Fixo MWH: 8760Trading last day: 2026-12-29Trading quotation: €/MWhFTB YR-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,211,0,0,,84.97,82.40,,,,,2026-09-08
ISIN Code: PTFTO0179658Nominal Fixo MWH: 8784Trading last day: 2027-12-29Trading quotation: €/MWhFTB YR-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,127,0,0,,63.00,61.00,,,,,2026-09-08
ISIN Code: PTFTO0179666Nominal Fixo MWH: 8760Trading last day: 2028-12-28Trading quotation: €/MWhFTB YR-29,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,111,0,0,,57.90,57.75,,,,,2026-09-08
ISIN Code: PTFTO0179674Nominal Fixo MWH: 8760Trading last day: 2029-12-28Trading quotation: €/MWhFTB YR-30,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,103,0,0,,55.15,55.00,,,,,2026-09-08
ISIN Code: PTFTO0184708Nominal Fixo MWH: 8760Trading last day: 2030-12-27Trading quotation: €/MWhFTB YR-31,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,102,0,0,,51.00,51.00,,,,,2026-09-08
ISIN Code: PTFTO0230329Nominal Fixo MWH: 8784Trading last day: 2031-12-29Trading quotation: €/MWhFTB YR-32,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,49.40,49.40,,,,,2026-09-08
ISIN Code: PTFTO0284011Nominal Fixo MWH: 8760Trading last day: 2032-12-29Trading quotation: €/MWhFTB YR-33,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,48.15,48.15,,,,,2026-09-08
ISIN Code: PTFTO0344005Nominal Fixo MWH: 8760Trading last day: 2033-12-29Trading quotation: €/MWhFTB YR-34,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,47.65,47.65,,,,,2026-09-08
ISIN Code: PTFTO0404296Nominal Fixo MWH: 8760Trading last day: 2034-12-28Trading quotation: €/MWhFTB YR-35,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,47.15,47.15,,,,,2026-09-08
ISIN Code: PTFTO0464449Nominal Fixo MWH: 8784Trading last day: 2035-12-28Trading quotation: €/MWhFTB YR-36,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,46.55,46.55,,,,,2026-09-08
ISIN Code: PTFTO0464464Nominal Fixo MWH: 87672Trading last day: 2026-12-29Trading quotation: €/MWhFTB PPA 27/36,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,55.09,54.60,,,,,2026-09-08
ISIN Code: PTFTO0404304Nominal Fixo MWH: 43824Trading last day: 2026-12-29Trading quotation: €/MWhFTB PPA 27/31,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,62.40,61.43,,,,,2026-09-08
ISIN Code: PTFTO0464456Nominal Fixo MWH: 43848Trading last day: 2027-12-29Trading quotation: €/MWhFTB PPA 28/32,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,55.29,54.83,,,,,2026-09-08
