Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-09-04
,,,,,,,,,,,,,,,,,,,,2026-09-04
ISIN Code: PTFTO0461957Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Sa05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.11,130.55,,,,,2026-09-04
ISIN Code: PTFTO0461965Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Su06Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,133.89,118.45,,,,,2026-09-04
ISIN Code: PTFTO0461973Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Mo07Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,139.03,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0461981Nominal Fixo MWH: 24Trading last day: 2026-09-07Trading quotation: €/MWhFTB D Tu08Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,144.36,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0461999Nominal Fixo MWH: 24Trading last day: 2026-09-08Trading quotation: €/MWhFTB D We09Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,142.65,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0462005Nominal Fixo MWH: 24Trading last day: 2026-09-09Trading quotation: €/MWhFTB D Th10Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,142.48,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0462013Nominal Fixo MWH: 24Trading last day: 2026-09-10Trading quotation: €/MWhFTB D Fr11Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.94,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0462021Nominal Fixo MWH: 24Trading last day: 2026-09-11Trading quotation: €/MWhFTB D Sa12Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,121.36,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0462039Nominal Fixo MWH: 24Trading last day: 2026-09-11Trading quotation: €/MWhFTB D Su13Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,109.18,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0463573Nominal Fixo MWH: 48Trading last day: 2026-09-04Trading quotation: €/MWhFTB WE 05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,136.00,124.50,,,,,2026-09-04
ISIN Code: PTFTO0463581Nominal Fixo MWH: 48Trading last day: 2026-09-11Trading quotation: €/MWhFTB WE 12Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,115.27,n.a.,,,,,2026-09-04
ISIN Code: PTFTO0464076Nominal Fixo MWH: 168Trading last day: 2026-09-04Trading quotation: €/MWhFTB Wk37-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,134.00,143.65,,,,,2026-09-04
ISIN Code: PTFTO0464084Nominal Fixo MWH: 168Trading last day: 2026-09-11Trading quotation: €/MWhFTB Wk38-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.00,138.00,,,,,2026-09-04
ISIN Code: PTFTO0464092Nominal Fixo MWH: 168Trading last day: 2026-09-18Trading quotation: €/MWhFTB Wk39-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.00,138.00,,,,,2026-09-04
ISIN Code: PTFTO0464100Nominal Fixo MWH: 168Trading last day: 2026-09-25Trading quotation: €/MWhFTB Wk40-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,133.14,133.39,,,,,2026-09-04
ISIN Code: PTFTO0464316Nominal Fixo MWH: 745Trading last day: 2026-09-30Trading quotation: €/MWhFTB M Oct-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,5,0,0,,129.50,129.94,,,,,2026-09-04
ISIN Code: PTFTO0464324Nominal Fixo MWH: 720Trading last day: 2026-10-30Trading quotation: €/MWhFTB M Nov-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,2,0,0,,135.94,137.32,,,,,2026-09-04
ISIN Code: PTFTO0464332Nominal Fixo MWH: 744Trading last day: 2026-11-30Trading quotation: €/MWhFTB M Dec-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,135.14,137.07,,,,,2026-09-04
ISIN Code: PTFTO0464340Nominal Fixo MWH: 744Trading last day: 2026-12-31Trading quotation: €/MWhFTB M Jan-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,12,0,0,,138.95,140.00,,,,,2026-09-04
ISIN Code: PTFTO0464357Nominal Fixo MWH: 672Trading last day: 2027-01-29Trading quotation: €/MWhFTB M Feb-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,124.00,111.34,,,,,2026-09-04
ISIN Code: PTFTO0464365Nominal Fixo MWH: 743Trading last day: 2027-02-26Trading quotation: €/MWhFTB M Mar-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,75.61,89.06,,,,,2026-09-04
ISIN Code: PTFTO0404254Nominal Fixo MWH: 2209Trading last day: 2026-09-28Trading quotation: €/MWhFTB Q4-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,361,0,0,,133.50,134.75,,,,,2026-09-04
ISIN Code: PTFTO0404262Nominal Fixo MWH: 2159Trading last day: 2026-12-29Trading quotation: €/MWhFTB Q1-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,40,3,6477,,112.50,113.55,,,,,2026-09-04
ISIN Code: PTFTO0404270Nominal Fixo MWH: 2184Trading last day: 2027-03-25Trading quotation: €/MWhFTB Q2-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,53.90,53.50,,,,,2026-09-04
ISIN Code: PTFTO0404288Nominal Fixo MWH: 2208Trading last day: 2027-06-28Trading quotation: €/MWhFTB Q3-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,78.02,78.49,,,,,2026-09-04
ISIN Code: PTFTO0464407Nominal Fixo MWH: 2209Trading last day: 2027-09-28Trading quotation: €/MWhFTB Q4-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,79.99,80.47,,,,,2026-09-04
ISIN Code: PTFTO0464415Nominal Fixo MWH: 2183Trading last day: 2027-12-29Trading quotation: €/MWhFTB Q1-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,69.30,70.10,,,,,2026-09-04
ISIN Code: PTFTO0464423Nominal Fixo MWH: 2184Trading last day: 2028-03-29Trading quotation: €/MWhFTB Q2-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,44.85,45.65,,,,,2026-09-04
ISIN Code: PTFTO0138373Nominal Fixo MWH: 8760Trading last day: 2026-12-29Trading quotation: €/MWhFTB YR-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,211,2,17520,,81.00,81.40,,,,,2026-09-04
ISIN Code: PTFTO0179658Nominal Fixo MWH: 8784Trading last day: 2027-12-29Trading quotation: €/MWhFTB YR-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,127,0,0,,60.80,61.60,,,,,2026-09-04
ISIN Code: PTFTO0179666Nominal Fixo MWH: 8760Trading last day: 2028-12-28Trading quotation: €/MWhFTB YR-29,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,111,0,0,,57.00,56.10,,,,,2026-09-04
ISIN Code: PTFTO0179674Nominal Fixo MWH: 8760Trading last day: 2029-12-28Trading quotation: €/MWhFTB YR-30,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,103,0,0,,54.20,52.20,,,,,2026-09-04
ISIN Code: PTFTO0184708Nominal Fixo MWH: 8760Trading last day: 2030-12-27Trading quotation: €/MWhFTB YR-31,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,102,0,0,,51.00,49.60,,,,,2026-09-04
ISIN Code: PTFTO0230329Nominal Fixo MWH: 8784Trading last day: 2031-12-29Trading quotation: €/MWhFTB YR-32,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,49.00,48.60,,,,,2026-09-04
ISIN Code: PTFTO0284011Nominal Fixo MWH: 8760Trading last day: 2032-12-29Trading quotation: €/MWhFTB YR-33,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,18,0,0,,48.40,48.40,,,,,2026-09-04
ISIN Code: PTFTO0344005Nominal Fixo MWH: 8760Trading last day: 2033-12-29Trading quotation: €/MWhFTB YR-34,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,47.90,47.90,,,,,2026-09-04
