Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-09-01
,,,,,,,,,,,,,,,,,,,,2026-09-01
ISIN Code: PTFTO0461924Nominal Fixo MWH: 24Trading last day: 2026-09-01Trading quotation: €/MWhFTB D We02Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,159.91,138.37,,,,,2026-09-01
ISIN Code: PTFTO0461932Nominal Fixo MWH: 24Trading last day: 2026-09-02Trading quotation: €/MWhFTB D Th03Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,150.00,138.21,,,,,2026-09-01
ISIN Code: PTFTO0461940Nominal Fixo MWH: 24Trading last day: 2026-09-03Trading quotation: €/MWhFTB D Fr04Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,147.00,134.78,,,,,2026-09-01
ISIN Code: PTFTO0461957Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Sa05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,117.72,113.18,,,,,2026-09-01
ISIN Code: PTFTO0461965Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Su06Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,106.28,101.82,,,,,2026-09-01
ISIN Code: PTFTO0463573Nominal Fixo MWH: 48Trading last day: 2026-09-04Trading quotation: €/MWhFTB WE 05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,112.00,107.50,,,,,2026-09-01
ISIN Code: PTFTO0464076Nominal Fixo MWH: 168Trading last day: 2026-09-04Trading quotation: €/MWhFTB Wk37-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,137.00,139.00,,,,,2026-09-01
ISIN Code: PTFTO0464084Nominal Fixo MWH: 168Trading last day: 2026-09-11Trading quotation: €/MWhFTB Wk38-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.00,135.13,,,,,2026-09-01
ISIN Code: PTFTO0464092Nominal Fixo MWH: 168Trading last day: 2026-09-18Trading quotation: €/MWhFTB Wk39-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,138.00,135.13,,,,,2026-09-01
ISIN Code: PTFTO0464100Nominal Fixo MWH: 168Trading last day: 2026-09-25Trading quotation: €/MWhFTB Wk40-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,133.43,134.75,,,,,2026-09-01
ISIN Code: PTFTO0464316Nominal Fixo MWH: 745Trading last day: 2026-09-30Trading quotation: €/MWhFTB M Oct-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,1,745,,130.00,125.25,,,,,2026-09-01
ISIN Code: PTFTO0464324Nominal Fixo MWH: 720Trading last day: 2026-10-30Trading quotation: €/MWhFTB M Nov-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,2,0,0,,134.00,129.16,,,,,2026-09-01
ISIN Code: PTFTO0464332Nominal Fixo MWH: 744Trading last day: 2026-11-30Trading quotation: €/MWhFTB M Dec-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,132.07,127.40,,,,,2026-09-01
ISIN Code: PTFTO0464340Nominal Fixo MWH: 744Trading last day: 2026-12-31Trading quotation: €/MWhFTB M Jan-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,12,0,0,,128.95,122.00,,,,,2026-09-01
ISIN Code: PTFTO0464357Nominal Fixo MWH: 672Trading last day: 2027-01-29Trading quotation: €/MWhFTB M Feb-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,107.85,103.90,,,,,2026-09-01
ISIN Code: PTFTO0464365Nominal Fixo MWH: 743Trading last day: 2027-02-26Trading quotation: €/MWhFTB M Mar-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,93.55,n.a.,,,,,2026-09-01
ISIN Code: PTFTO0404254Nominal Fixo MWH: 2209Trading last day: 2026-09-28Trading quotation: €/MWhFTB Q4-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,361,0,0,,132.00,127.25,,,,,2026-09-01
ISIN Code: PTFTO0404262Nominal Fixo MWH: 2159Trading last day: 2026-12-29Trading quotation: €/MWhFTB Q1-27,,n.a.,n.a.,10795,,107.50,01h:38m:53s,10795,,36,5,0,,110.20,106.25,,,,,2026-09-01
ISIN Code: PTFTO0404270Nominal Fixo MWH: 2184Trading last day: 2027-03-25Trading quotation: €/MWhFTB Q2-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,51.87,50.25,,,,,2026-09-01
ISIN Code: PTFTO0404288Nominal Fixo MWH: 2208Trading last day: 2027-06-28Trading quotation: €/MWhFTB Q3-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,77.21,78.25,,,,,2026-09-01
ISIN Code: PTFTO0464407Nominal Fixo MWH: 2209Trading last day: 2027-09-28Trading quotation: €/MWhFTB Q4-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,77.13,76.98,,,,,2026-09-01
ISIN Code: PTFTO0464415Nominal Fixo MWH: 2183Trading last day: 2027-12-29Trading quotation: €/MWhFTB Q1-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,68.50,68.00,,,,,2026-09-01
ISIN Code: PTFTO0464423Nominal Fixo MWH: 2184Trading last day: 2028-03-29Trading quotation: €/MWhFTB Q2-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,44.05,42.80,,,,,2026-09-01
ISIN Code: PTFTO0138373Nominal Fixo MWH: 8760Trading last day: 2026-12-29Trading quotation: €/MWhFTB YR-27,,n.a.,n.a.,8760,,79.00,03h:57m:01s,8760,,213,1,0,,79.00,77.85,,,,,2026-09-01
ISIN Code: PTFTO0179658Nominal Fixo MWH: 8784Trading last day: 2027-12-29Trading quotation: €/MWhFTB YR-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,127,0,0,,60.00,58.75,,,,,2026-09-01
ISIN Code: PTFTO0179666Nominal Fixo MWH: 8760Trading last day: 2028-12-28Trading quotation: €/MWhFTB YR-29,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,111,0,0,,54.50,54.25,,,,,2026-09-01
ISIN Code: PTFTO0179674Nominal Fixo MWH: 8760Trading last day: 2029-12-28Trading quotation: €/MWhFTB YR-30,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,103,0,0,,50.25,50.45,,,,,2026-09-01
