Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-08-28
,,,,,,,,,,,,,,,,,,,,2026-08-28
ISIN Code: PTFTO0461882Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Sa29Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,99.81,,,,,2026-08-28
ISIN Code: PTFTO0461890Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Su30Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,90.19,,,,,2026-08-28
ISIN Code: PTFTO0461908Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Mo31Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
ISIN Code: PTFTO0461916Nominal Fixo MWH: 24Trading last day: 2026-08-31Trading quotation: €/MWhFTB D Tu01Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
ISIN Code: PTFTO0461924Nominal Fixo MWH: 24Trading last day: 2026-09-01Trading quotation: €/MWhFTB D We02Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
ISIN Code: PTFTO0461932Nominal Fixo MWH: 24Trading last day: 2026-09-02Trading quotation: €/MWhFTB D Th03Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
ISIN Code: PTFTO0461940Nominal Fixo MWH: 24Trading last day: 2026-09-03Trading quotation: €/MWhFTB D Fr04Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
ISIN Code: PTFTO0461957Nominal Fixo MWH: 24Trading last day: 2026-09-04Trading quotation: €/MWhFTB D Sa05Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,,0,0,,n.a.,n.a.,,,,,2026-08-28
