Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-08-25
,,,,,,,,,,,,,,,,,,,,2026-08-25
ISIN Code: PTFTO0461858Nominal Fixo MWH: 24Trading last day: 2026-08-25Trading quotation: €/MWhFTB D We26Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,110.86,114.00,,,,,2026-08-25
ISIN Code: PTFTO0461866Nominal Fixo MWH: 24Trading last day: 2026-08-26Trading quotation: €/MWhFTB D Th27Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,116.00,110.14,,,,,2026-08-25
ISIN Code: PTFTO0461874Nominal Fixo MWH: 24Trading last day: 2026-08-27Trading quotation: €/MWhFTB D Fr28Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,110.00,107.52,,,,,2026-08-25
ISIN Code: PTFTO0461882Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Sa29Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,101.79,94.53,,,,,2026-08-25
ISIN Code: PTFTO0461890Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Su30Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,92.21,85.53,,,,,2026-08-25
ISIN Code: PTFTO0463565Nominal Fixo MWH: 48Trading last day: 2026-08-28Trading quotation: €/MWhFTB WE 29Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,97.00,90.03,,,,,2026-08-25
ISIN Code: PTFTO0464068Nominal Fixo MWH: 168Trading last day: 2026-08-28Trading quotation: €/MWhFTB Wk36-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,125.00,123.50,,,,,2026-08-25
ISIN Code: PTFTO0464076Nominal Fixo MWH: 168Trading last day: 2026-09-04Trading quotation: €/MWhFTB Wk37-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,125.63,122.25,,,,,2026-08-25
ISIN Code: PTFTO0464084Nominal Fixo MWH: 168Trading last day: 2026-09-11Trading quotation: €/MWhFTB Wk38-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,125.63,122.25,,,,,2026-08-25
ISIN Code: PTFTO0464092Nominal Fixo MWH: 168Trading last day: 2026-09-18Trading quotation: €/MWhFTB Wk39-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,125.63,122.25,,,,,2026-08-25
ISIN Code: PTFTO0464308Nominal Fixo MWH: 720Trading last day: 2026-08-31Trading quotation: €/MWhFTB M Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,385,0,0,,125.50,122.50,,,,,2026-08-25
ISIN Code: PTFTO0464316Nominal Fixo MWH: 745Trading last day: 2026-09-30Trading quotation: €/MWhFTB M Oct-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,3,0,0,,118.00,119.40,,,,,2026-08-25
ISIN Code: PTFTO0464324Nominal Fixo MWH: 720Trading last day: 2026-10-30Trading quotation: €/MWhFTB M Nov-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,2,1,720,,122.00,124.50,,,,,2026-08-25
ISIN Code: PTFTO0464332Nominal Fixo MWH: 744Trading last day: 2026-11-30Trading quotation: €/MWhFTB M Dec-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,120.96,121.50,,,,,2026-08-25
ISIN Code: PTFTO0464340Nominal Fixo MWH: 744Trading last day: 2026-12-31Trading quotation: €/MWhFTB M Jan-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,12,0,0,,111.78,111.28,,,,,2026-08-25
ISIN Code: PTFTO0464357Nominal Fixo MWH: 672Trading last day: 2027-01-29Trading quotation: €/MWhFTB M Feb-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,4,0,0,,96.65,96.15,,,,,2026-08-25
ISIN Code: PTFTO0404254Nominal Fixo MWH: 2209Trading last day: 2026-09-28Trading quotation: €/MWhFTB Q4-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,361,0,0,,120.30,121.77,,,,,2026-08-25
ISIN Code: PTFTO0404262Nominal Fixo MWH: 2159Trading last day: 2026-12-29Trading quotation: €/MWhFTB Q1-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,31,0,0,,99.00,98.50,,,,,2026-08-25
ISIN Code: PTFTO0404270Nominal Fixo MWH: 2184Trading last day: 2027-03-25Trading quotation: €/MWhFTB Q2-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,52.25,52.94,,,,,2026-08-25
ISIN Code: PTFTO0404288Nominal Fixo MWH: 2208Trading last day: 2027-06-28Trading quotation: €/MWhFTB Q3-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,76.30,77.00,,,,,2026-08-25
ISIN Code: PTFTO0464407Nominal Fixo MWH: 2209Trading last day: 2027-09-28Trading quotation: €/MWhFTB Q4-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,1,0,0,,76.30,77.00,,,,,2026-08-25
ISIN Code: PTFTO0464415Nominal Fixo MWH: 2183Trading last day: 2027-12-29Trading quotation: €/MWhFTB Q1-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,66.86,66.91,,,,,2026-08-25
ISIN Code: PTFTO0464423Nominal Fixo MWH: 2184Trading last day: 2028-03-29Trading quotation: €/MWhFTB Q2-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,43.80,43.85,,,,,2026-08-25
ISIN Code: PTFTO0138373Nominal Fixo MWH: 8760Trading last day: 2026-12-29Trading quotation: €/MWhFTB YR-27,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,212,0,0,,75.90,76.30,,,,,2026-08-25
ISIN Code: PTFTO0179658Nominal Fixo MWH: 8784Trading last day: 2027-12-29Trading quotation: €/MWhFTB YR-28,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,127,0,0,,59.75,59.80,,,,,2026-08-25
ISIN Code: PTFTO0179666Nominal Fixo MWH: 8760Trading last day: 2028-12-28Trading quotation: €/MWhFTB YR-29,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,111,0,0,,54.00,54.10,,,,,2026-08-25
ISIN Code: PTFTO0179674Nominal Fixo MWH: 8760Trading last day: 2029-12-28Trading quotation: €/MWhFTB YR-30,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,103,0,0,,50.50,50.50,,,,,2026-08-25
